Var1,Var2,Var3,Var4
-20,-20,-25,-17.4976051420699
-20,-19,-25,-13.660682548019
-20,-18,-25,-11.677993493899
-20,-17,-25,-10.9801746027314
-20,-16,-25,-11.3467323839189
-20,-15,-25,-12.7652402813849
-20,-14,-25,-15.3886425461144
-20,-13,-25,-19.2540541226524
-20,-12,-25,-21.2434059833278
-20,-11,-25,-18.1540093223041
-20,-10,-25,-15.2146953486525
-20,-9,-25,-13.4391040956498
-20,-8,-25,-12.5495814363688
-20,-7,-25,-12.3352524233124
-20,-6,-25,-12.6855484963916
-20,-5,-25,-13.5642443420969
-20,-4,-25,-15.0094531249452
-20,-3,-25,-17.1748308168597
-20,-2,-25,-20.4847326713289
-20,-1,-25,-26.3885515175702
-20,0,-25,-323.557018636597
-20,1,-25,-26.3885515175702
-20,2,-25,-20.4847326713289
-20,3,-25,-17.1748308168597
-20,4,-25,-15.0094531249452
-20,5,-25,-13.5642443420969
-20,6,-25,-12.6855484963916
-20,7,-25,-12.3352524233124
-20,8,-25,-12.5495814363688
-20,9,-25,-13.4391040956498
-20,10,-25,-15.2146953486525
-20,11,-25,-18.1540093223041
-20,12,-25,-21.2434059833278
-20,13,-25,-19.2540541226524
-20,14,-25,-15.3886425461144
-20,15,-25,-12.7652402813849
-20,16,-25,-11.3467323839189
-20,17,-25,-10.9801746027314
-20,18,-25,-11.677993493899
-20,19,-25,-13.660682548019
-20,20,-25,-17.4976051420699
-19,-20,-25,-14.5525208207645
-19,-19,-25,-12.3616745452694
-19,-18,-25,-11.7425537933334
-19,-17,-25,-12.3930223165638
-19,-16,-25,-14.2526443536585
-19,-15,-25,-16.8657030697679
-19,-14,-25,-17.3025762147353
-19,-13,-25,-14.4976576880569
-19,-12,-25,-11.7977631358318
-19,-11,-25,-10.0039917870237
-19,-10,-25,-8.98542320872173
-19,-9,-25,-8.58103347385326
-19,-8,-25,-8.68148469480673
-19,-7,-25,-9.22017812549075
-19,-6,-25,-10.1653729621561
-19,-5,-25,-11.5221986179671
-19,-4,-25,-13.349591333279
-19,-3,-25,-15.8104840922506
-19,-2,-25,-19.3321187269543
-19,-1,-25,-25.363695127902
-19,0,-25,-324.668307004117
-19,1,-25,-25.363695127902
-19,2,-25,-19.3321187269543
-19,3,-25,-15.8104840922506
-19,4,-25,-13.349591333279
-19,5,-25,-11.5221986179671
-19,6,-25,-10.1653729621561
-19,7,-25,-9.22017812549074
-19,8,-25,-8.68148469480673
-19,9,-25,-8.58103347385325
-19,10,-25,-8.98542320872173
-19,11,-25,-10.0039917870237
-19,12,-25,-11.7977631358318
-19,13,-25,-14.4976576880569
-19,14,-25,-17.3025762147353
-19,15,-25,-16.8657030697679
-19,16,-25,-14.2526443536585
-19,17,-25,-12.3930223165638
-19,18,-25,-11.7425537933334
-19,19,-25,-12.3616745452694
-19,20,-25,-14.5525208207645
-18,-20,-25,-12.5587448457703
-18,-19,-25,-11.9070827230431
-18,-18,-25,-12.5877937728336
-18,-17,-25,-14.2762580872859
-18,-16,-25,-15.4451457068089
-18,-15,-25,-13.7419388656115
-18,-14,-25,-10.954406136251
-18,-13,-25,-8.78880604280265
-18,-12,-25,-7.41464536931285
-18,-11,-25,-6.71174563454934
-18,-10,-25,-6.56444858450125
-18,-9,-25,-6.8887959022
-18,-8,-25,-7.62658889915181
-18,-7,-25,-8.7398469444279
-18,-6,-25,-10.2100638452746
-18,-5,-25,-12.0444739563989
-18,-4,-25,-14.2954806160324
-18,-3,-25,-17.1129679668713
-18,-2,-25,-20.9073601047338
-18,-1,-25,-27.1110325231441
-18,0,-25,-315.194922796535
-18,1,-25,-27.1110325231441
-18,2,-25,-20.9073601047338
-18,3,-25,-17.1129679668713
-18,4,-25,-14.2954806160324
-18,5,-25,-12.0444739563989
-18,6,-25,-10.2100638452746
-18,7,-25,-8.7398469444279
-18,8,-25,-7.6265888991518
-18,9,-25,-6.8887959022
-18,10,-25,-6.56444858450125
-18,11,-25,-6.71174563454933
-18,12,-25,-7.41464536931286
-18,13,-25,-8.78880604280264
-18,14,-25,-10.954406136251
-18,15,-25,-13.7419388656115
-18,16,-25,-15.4451457068089
-18,17,-25,-14.2762580872859
-18,18,-25,-12.5877937728337
-18,19,-25,-11.9070827230431
-18,20,-25,-12.5587448457703
-17,-20,-25,-11.9030063748443
-17,-19,-25,-12.4647894476454
-17,-18,-25,-13.9676389541453
-17,-17,-25,-14.5142617083051
-17,-16,-25,-12.3124163636916
-17,-15,-25,-9.54403823287182
-17,-14,-25,-7.51464022001556
-17,-13,-25,-6.29686783334513
-17,-12,-25,-5.77252194186182
-17,-11,-25,-5.83844431982093
-17,-10,-25,-6.42234380352468
-17,-9,-25,-7.47567629482573
-17,-8,-25,-8.96682623967186
-17,-7,-25,-10.8767705780607
-17,-6,-25,-13.1971542376647
-17,-5,-25,-15.9319907421239
-17,-4,-25,-19.1089127968635
-17,-3,-25,-22.8215730200272
-17,-2,-25,-27.3879427639646
-17,-1,-25,-34.1243760828628
-17,0,-25,-323.283974907252
-17,1,-25,-34.1243760828629
-17,2,-25,-27.3879427639646
-17,3,-25,-22.8215730200272
-17,4,-25,-19.1089127968635
-17,5,-25,-15.9319907421239
-17,6,-25,-13.1971542376647
-17,7,-25,-10.8767705780607
-17,8,-25,-8.96682623967186
-17,9,-25,-7.47567629482573
-17,10,-25,-6.42234380352468
-17,11,-25,-5.83844431982093
-17,12,-25,-5.77252194186182
-17,13,-25,-6.29686783334513
-17,14,-25,-7.51464022001557
-17,15,-25,-9.54403823287182
-17,16,-25,-12.3124163636916
-17,17,-25,-14.5142617083051
-17,18,-25,-13.9676389541452
-17,19,-25,-12.4647894476454
-17,20,-25,-11.9030063748443
-16,-20,-25,-12.566841391296
-16,-19,-25,-14.2172947070503
-16,-18,-25,-15.1462852172784
-16,-17,-25,-12.6951974646565
-16,-16,-25,-9.58782379807665
-16,-15,-25,-7.41849598049297
-16,-14,-25,-6.20381939434271
-16,-13,-25,-5.79597507061697
-16,-12,-25,-6.09314164235664
-16,-11,-25,-7.04575709132103
-16,-10,-25,-8.65094127930224
-16,-9,-25,-10.9576474469753
-16,-8,-25,-14.0911129449607
-16,-7,-25,-18.3162200899939
-16,-6,-25,-24.1524354353852
-16,-5,-25,-31.2793597287883
-16,-4,-25,-31.5111061517087
-16,-3,-25,-30.0115739727859
-16,-2,-25,-31.1820661925237
-16,-1,-25,-35.9963741734053
-16,0,-25,-329.498306565411
-16,1,-25,-35.9963741734054
-16,2,-25,-31.1820661925236
-16,3,-25,-30.0115739727859
-16,4,-25,-31.5111061517087
-16,5,-25,-31.2793597287883
-16,6,-25,-24.1524354353851
-16,7,-25,-18.3162200899939
-16,8,-25,-14.0911129449607
-16,9,-25,-10.9576474469753
-16,10,-25,-8.65094127930224
-16,11,-25,-7.04575709132102
-16,12,-25,-6.09314164235664
-16,13,-25,-5.79597507061697
-16,14,-25,-6.20381939434271
-16,15,-25,-7.41849598049297
-16,16,-25,-9.58782379807665
-16,17,-25,-12.6951974646565
-16,18,-25,-15.1462852172784
-16,19,-25,-14.2172947070503
-16,20,-25,-12.566841391296
-15,-20,-25,-14.7729033165253
-15,-19,-25,-17.3176395597022
-15,-18,-25,-14.9002311079412
-15,-17,-25,-10.8527360806017
-15,-16,-25,-8.22111998613864
-15,-15,-25,-6.8550253893233
-15,-14,-25,-6.50881999595856
-15,-13,-25,-7.07510459058578
-15,-12,-25,-8.5688176315484
-15,-11,-25,-11.158425312605
-15,-10,-25,-15.3195263282646
-15,-9,-25,-22.1052465478435
-15,-8,-25,-24.2655485038886
-15,-7,-25,-19.0656742853517
-15,-6,-25,-16.5499558192567
-15,-5,-25,-15.7348980439793
-15,-4,-25,-16.1016172388637
-15,-3,-25,-17.563919255014
-15,-2,-25,-20.4292959348889
-15,-1,-25,-26.0862887004161
-15,0,-25,-330.530998432424
-15,1,-25,-26.0862887004161
-15,2,-25,-20.4292959348889
-15,3,-25,-17.563919255014
-15,4,-25,-16.1016172388637
-15,5,-25,-15.7348980439793
-15,6,-25,-16.5499558192567
-15,7,-25,-19.0656742853517
-15,8,-25,-24.2655485038886
-15,9,-25,-22.1052465478435
-15,10,-25,-15.3195263282647
-15,11,-25,-11.158425312605
-15,12,-25,-8.56881763154841
-15,13,-25,-7.07510459058578
-15,14,-25,-6.50881999595857
-15,15,-25,-6.8550253893233
-15,16,-25,-8.22111998613863
-15,17,-25,-10.8527360806017
-15,18,-25,-14.9002311079412
-15,19,-25,-17.3176395597022
-15,20,-25,-14.7729033165253
-14,-20,-25,-19.4965969143335
-14,-19,-25,-19.7909887998813
-14,-18,-25,-13.3074105023085
-14,-17,-25,-9.69175422840273
-14,-16,-25,-7.96053994530379
-14,-15,-25,-7.57779454038175
-14,-14,-25,-8.40406495666224
-14,-13,-25,-10.5765836724319
-14,-12,-25,-14.6205181073877
-14,-11,-25,-20.4796541627543
-14,-10,-25,-17.7433220737393
-14,-9,-25,-13.259673241111
-14,-8,-25,-10.8733159309318
-14,-7,-25,-9.79257509183459
-14,-6,-25,-9.61452217781732
-14,-5,-25,-10.1677282154826
-14,-4,-25,-11.4171919766161
-14,-3,-25,-13.4709768500825
-14,-2,-25,-16.7223819353767
-14,-1,-25,-22.5995760904439
-14,0,-25,-320.827994184212
-14,1,-25,-22.5995760904439
-14,2,-25,-16.7223819353767
-14,3,-25,-13.4709768500825
-14,4,-25,-11.4171919766161
-14,5,-25,-10.1677282154826
-14,6,-25,-9.61452217781732
-14,7,-25,-9.79257509183459
-14,8,-25,-10.8733159309318
-14,9,-25,-13.259673241111
-14,10,-25,-17.7433220737393
-14,11,-25,-20.4796541627543
-14,12,-25,-14.6205181073877
-14,13,-25,-10.5765836724319
-14,14,-25,-8.40406495666224
-14,15,-25,-7.57779454038176
-14,16,-25,-7.9605399453038
-14,17,-25,-9.69175422840273
-14,18,-25,-13.3074105023085
-14,19,-25,-19.7909887998813
-14,20,-25,-19.4965969143335
-13,-20,-25,-32.0154056774039
-13,-19,-25,-17.0744883572213
-13,-18,-25,-11.5638080519489
-13,-17,-25,-9.17603596461524
-13,-16,-25,-8.57151783516802
-13,-15,-25,-9.48506236507211
-13,-14,-25,-12.0982936543383
-13,-13,-25,-16.4507847842839
-13,-12,-25,-16.2519681738574
-13,-11,-25,-11.6431665765306
-13,-10,-25,-8.62971977186162
-13,-9,-25,-6.98536132151304
-13,-8,-25,-6.28848840923275
-13,-7,-25,-6.3112294619541
-13,-6,-25,-6.93366724747389
-13,-5,-25,-8.10511340488254
-13,-4,-25,-9.84325824306737
-13,-3,-25,-12.2768311299749
-13,-2,-25,-15.8036357341189
-13,-1,-25,-21.8490028114332
-13,0,-25,-328.664010535384
-13,1,-25,-21.8490028114332
-13,2,-25,-15.8036357341189
-13,3,-25,-12.2768311299749
-13,4,-25,-9.84325824306737
-13,5,-25,-8.10511340488254
